epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.5585,1.96367,3.81469,1.78188,0.15178,0.23344,0.07756,0.02668,2.22084,3.23921,2.15083,0.000656716,0.000656716,0.000656716
2,52.0308,2.13713,2.39015,1.89386,0.00245,0.13576,0.00121,0.0004,3.55615,62.422,6.19243,0.00127971,0.00127971,0.00127971
3,75.5557,2.13383,2.3433,1.91485,0.0028,0.14238,0.00163,0.00058,nan,nan,nan,0.00185871,0.00185871,0.00185871
4,98.9957,2.13089,2.34453,1.84228,0.08072,0.09603,0.01885,0.00561,3.44288,4.49556,3.67581,0.001802,0.001802,0.001802
5,122.97,2.09427,2.30501,1.84474,0.21269,0.31623,0.17328,0.05911,2.21865,3.49418,2.11435,0.001736,0.001736,0.001736
6,147.194,1.99858,2.18585,1.80424,0.19594,0.2202,0.12148,0.03855,2.47942,3.38139,2.36897,0.00167,0.00167,0.00167
7,171.255,2.03086,2.17731,1.81678,0.26399,0.27649,0.2106,0.07986,2.09156,2.31724,1.93622,0.001604,0.001604,0.001604
8,195.662,1.95063,2.13716,1.74069,0.27043,0.29139,0.20997,0.07987,2.15203,2.82699,2.01018,0.001538,0.001538,0.001538
9,219.126,1.93527,2.08026,1.75041,0.28847,0.35762,0.2826,0.11492,2.01011,2.39397,1.85354,0.001472,0.001472,0.001472
10,242.9,1.9272,2.05071,1.74154,0.32223,0.33278,0.26759,0.09945,2.07845,2.12486,1.83853,0.001406,0.001406,0.001406
11,267.024,1.88609,2.00052,1.68878,0.37237,0.38576,0.31782,0.1221,1.98702,2.07902,1.78898,0.00134,0.00134,0.00134
12,291.137,1.87504,2.05321,1.68891,0.37581,0.38245,0.32762,0.13701,1.9352,2.10287,1.7298,0.001274,0.001274,0.001274
13,315.399,1.83391,1.92934,1.64829,0.41693,0.40015,0.35992,0.15289,1.96522,1.93972,1.79922,0.001208,0.001208,0.001208
14,339.6,1.86007,1.91409,1.67057,0.3922,0.43046,0.36618,0.14835,1.88453,2.1494,1.74329,0.001142,0.001142,0.001142
15,363.54,1.82261,1.91438,1.63519,0.40915,0.43212,0.3772,0.15639,1.89839,1.93491,1.72036,0.001076,0.001076,0.001076
16,387.453,1.78957,1.8762,1.61804,0.44612,0.38742,0.38114,0.15877,1.88121,1.93395,1.72674,0.00101,0.00101,0.00101
17,411.689,1.77008,1.84382,1.5984,0.42394,0.3957,0.37056,0.15006,1.89817,1.87396,1.71108,0.000944,0.000944,0.000944
18,435.997,1.74037,1.82745,1.56919,0.48196,0.47682,0.45878,0.18776,1.83976,1.8621,1.70234,0.000878,0.000878,0.000878
19,460.332,1.74923,1.76517,1.56627,0.46715,0.45199,0.43954,0.18251,1.84835,1.97337,1.70539,0.000812,0.000812,0.000812
20,484.752,1.73652,1.78004,1.57966,0.45461,0.49172,0.44805,0.1933,1.87586,1.91133,1.73725,0.000746,0.000746,0.000746
21,510.318,1.76134,1.77825,1.58967,0.4327,0.40728,0.40198,0.18452,1.81139,1.81928,1.6892,0.00068,0.00068,0.00068
22,534.118,1.74183,1.73872,1.58832,0.44186,0.46523,0.43536,0.19555,1.79821,1.78609,1.65323,0.000614,0.000614,0.000614
23,557.414,1.71638,1.6444,1.54654,0.48327,0.46026,0.46806,0.20697,1.81358,1.6936,1.64831,0.000548,0.000548,0.000548
24,581.154,1.69983,1.63916,1.51905,0.46147,0.47185,0.45223,0.19921,1.84345,1.75367,1.67332,0.000482,0.000482,0.000482
25,604.716,1.67248,1.61832,1.51313,0.49928,0.48841,0.48309,0.21544,1.82697,1.68896,1.66501,0.000416,0.000416,0.000416
26,628.403,1.66845,1.57476,1.50788,0.49158,0.51656,0.48536,0.21936,1.82933,1.6595,1.67255,0.00035,0.00035,0.00035
27,651.699,1.66929,1.56277,1.51508,0.50274,0.50828,0.49038,0.22538,1.78123,1.65494,1.64286,0.000284,0.000284,0.000284
28,674.997,1.62624,1.50834,1.48616,0.49162,0.50914,0.49539,0.22541,1.79055,1.64826,1.65068,0.000218,0.000218,0.000218
29,698.809,1.59566,1.49439,1.46894,0.50862,0.52815,0.50676,0.2293,1.79565,1.68204,1.65363,0.000152,0.000152,0.000152
30,722.459,1.61712,1.48798,1.49079,0.52689,0.50828,0.51327,0.23318,1.77155,1.62843,1.62949,8.6e-05,8.6e-05,8.6e-05
